"","GN","filter_all_group","route_djev_1_1","route_djev_1_2","route_djev_2_1","route_djev_2_2","route_djev_3_1","route_djev_3_2","skill_avi","skill_ski","skill_avi_3l","skill_ski_3l","skill_avi_numeric","skill_ski_numeric","soc_6_1","soc_6_2","soc_6_3","soc_6_4","soc_6_3_reversed_NEW","soc_6_4_reversed_NEW","soc_6_5","soc_6_6","soc_total","g_dynamics","g_trust_1","g_confidence_1","age","bc_years_4","bc_days","birthy","sex","area_days","No","filter_full_group","Num","RecordedDate","goal_11_TEXT","StartDate","EndDate","Status","Progress","Duration__in_seconds_","group_nr","Finished","Day","Day_coded","n_people","firstime","Version","gear","g_leader","g_leader_you","goal_12","goal_1","goal_2","goal_3","goal_4","goal_5","goal_6","goal_7","goal_8","goal_9","goal_10","goal_11","goal_11_presence","goal_num","forecast","ates","mountain_1","mountain_2","mountain_3","route_skit_1_1","route_skit_1_2","route_skit_2_1","route_skit_2_2","route_skit_3_1","route_skit_3_2","route_skit_4_1","route_skit_4_2","n_trips_skit","n_trips_dje","TotalTotal","route_stor_1_2","route_stor_2_1","route_stor_2_2","route_stor_3_1","route_stor_3_2","route_stor_4_1","route_stor_4_2","route_stor_5_1","route_stor_5_2","route_stor_6_1","route_stor_6_2","n_trips_stor","aviprob_exp_10","aviprob_exp_1","aviprob_exp_2","aviprob_exp_3","aviprob_exp_4","aviprob_exp_5","aviprob_exp_6","aviprob_exp_7","aviprob_exp_8","aviprob_exp_9","factor_plan_99","factor_plan_1","factor_plan_2","factor_plan_3","factor_plan_4","factor_plan_5","factor_plan_6","factor_plan_7","factor_plan_8","factor_plan_9","factor_plan_10","factor_plan_11","factor_plan_12","factor_plan_13","factor_plan_14","factor_plan_15","factor_plan_16","factor_plan_17","factor_plan_18","factor_plan_19","factor_plan_20","factor_plan_21","factor_plan_22","factor_freq_dic","factor_freq_1","factor_freq_2","factor_freq_3","factor_freq_4","factor_freq_5","factor_freq_6","factor_freq_7","factor_freq_8","factor_freq_9","factor_freq_10","factor_freq_11","factor_freq_12","factor_freq_13","factor_freq_14","factor_freq_15","factor_freq_16","factor_freq_17","factor_freq_18","factor_freq_19","factor_freq_20","factor_freq_21","factor_freq_22","factor_freq_23","dp_dic","s_t_g_dm_1","s_t_g_dm_2","s_t_g_dm_3","mapphoto","multi_mountains","dpoint_map_skit_1_x","dpoint_map_skit_1_y","dpoint_photo_skit_1_x","dpoint_photo_skit_1_y","dpoint_map_djev_1_x","dpoint_map_djev_1_y","dpoint_photo_djev_1_x","dpoint_photo_djev_1_y","dpoint_map_stor_1_x","dpoint_map_stor_1_y","dpoint_photo_stor_1_x","dpoint_photo_stor_1_y","decision","aviprob_dm_99","aviprob_dm_98","aviprob_dm_9","aviprob_dm_1","aviprob_dm_2","aviprob_dm_3","aviprob_dm_4","aviprob_dm_5","aviprob_dm_6","aviprob_dm_7","factor_detail_4","factor_detail_5","factor_detail_6","factor_detail_7","factor_detail_8","factor_detail_9","factor_detail_10","factor_detail_11","factor_detail_12","factor_detail_13","factor_detail_14","factor_detail_15","factor_detail_16","factor_detail_17","factor_detail_18","factor_detail_19","factor_detail_20","factor_detail_21","factor_detail_22","factor_detail_23","factor_detail_24","factor_detail_25","factor_detail_26","social_binary","aviprob_exp_number","aviprob_dm_number","factor_detail_number","group_number_size"
"1","A1",1,NA,NA,NA,NA,NA,NA,5,6,3,3,5,6,5,5,1,4,NA,NA,4,5,26,5,5,7,29,20,399,1993,2,4,25,1,25,2022-03-26 13:30:43,"-99",2018-03-05 19:34:11,2018-03-05 19:50:39,16,100,987,"",1,"
26-Mar-22",1,2,1,1,1,NA,NA,0,0,0,0,1,1,0,1,0,0,0,0,NA,3,1,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,NA,NA,7,5,NA,5,7,NA,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,NA,188,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high",2,1,0,"small"
"2","A1",1,NA,NA,NA,NA,NA,NA,4,4,2,2,4,4,5,5,4,2,NA,NA,5,5,26,4,4,6,29,15,309,1993,2,4,36,1,36,2022-03-26 13:32:52,"-99",2022-03-26 04:57:07,2022-03-26 05:06:59,16,100,592,"",1,"
26-Mar-22",1,2,1,1,1,NA,NA,0,0,1,0,0,0,1,1,0,0,0,0,NA,3,1,4,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high",4,0,0,"small"
"3","A2",1,NA,NA,NA,NA,NA,NA,5,6,3,3,5,6,5,5,1,1,6,6,5,5,30,5,5,6,31,-99,339,1991,2,4,21,1,21,2022-03-26 13:29:23,"-99",2022-03-26 09:07:21,2022-03-26 09:27:04,16,100,1182,"",1,"
26-Mar-22",1,2,1,1,1,NA,NA,0,0,0,0,0,1,1,1,0,1,0,0,NA,4,1,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",3,0,0,"small"
"4","A2",1,NA,NA,NA,NA,NA,NA,5,5,3,3,5,5,5,5,3,1,4,6,5,5,28,5,5,7,31,11,339,1991,1,4,32,1,32,2022-03-26 13:30:50,"-99",2018-03-05 23:45:56,2018-03-06 00:03:03,16,100,1027,"",1,"26-Mar-22",1,2,1,1,1,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,7,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",3,0,0,"small"
"5","A6",1,NA,NA,NA,NA,NA,NA,4,4,2,2,4,4,5,5,5,4,NA,NA,5,5,23,4,4,6,46,-99,320,1976,2,2,107,1,107,2022-03-27 11:41:55,"-99",2022-03-27 03:37:35,2022-03-27 03:55:19,16,100,1064,"",1,"
27-Mar-22",2,2,1,1,1,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,1,1,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high",4,0,0,"small"
"6","A6",1,NA,NA,NA,NA,NA,NA,4,4,2,2,4,4,5,5,5,2,NA,NA,5,5,25,4,4,6,49,20,324,1973,2,2,117,1,117,2022-03-27 11:48:41,"-99",2022-03-27 03:37:10,2022-03-27 03:53:12,16,100,961,"",1,"
27-Mar-22",2,2,1,1,1,NA,NA,0,0,0,0,0,1,1,0,0,1,0,0,NA,3,2,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,NA,423,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high",2,1,0,"small"
"7","A7",1,NA,NA,NA,NA,NA,NA,5,6,3,3,5,6,4,4,5,2,2,5,4,5,22,4,4,6,26,-99,349,1996,2,4,119,1,119,2022-03-27 11:48:44,"-99",2022-03-27 05:39:43,2022-03-27 05:49:08,16,100,564,"",1,"
27-Mar-22",2,2,1,1,1,NA,NA,0,0,1,0,1,1,0,0,0,0,0,0,NA,3,1,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",2,0,0,"small"
"8","A7",1,NA,NA,NA,NA,NA,NA,5,4,3,2,5,4,1,1,1,1,6,6,5,5,22,5,5,7,56,-99,387,1966,2,4,122,1,122,2022-03-28 00:15:27,"-99",2022-03-27 05:40:26,2022-03-27 05:51:28,16,100,661,"",1,"
28-Mar-22",3,2,1,1,1,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,NA,2,2,-99,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",2,0,0,"small"
"9","B13",1,NA,NA,NA,NA,NA,NA,5,5,3,3,5,5,5,5,2,4,NA,NA,4,5,25,5,4,7,25,4,359,1997,2,4,110,1,110,2022-03-27 11:41:59,"-99",2022-03-27 05:57:05,2022-03-27 06:19:17,16,100,1331,"",1,"
27-Mar-22",2,3,1,1,1,NA,NA,0,0,1,0,1,0,1,1,1,0,0,0,NA,5,1,4,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,NA,1,1,NA,NA,4,3,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,NA,181,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high",2,0,0,"large"
"10","B13",1,NA,NA,NA,NA,NA,NA,4,4,2,2,4,4,5,5,4,4,NA,NA,5,5,24,5,5,7,25,-99,334,1997,1,4,120,1,120,2022-03-27 11:48:45,"-99",2022-03-27 05:56:32,2022-03-27 06:19:41,16,100,1389,"",1,"
27-Mar-22",2,3,1,1,1,NA,NA,0,0,0,0,1,0,0,1,0,0,0,0,NA,2,1,5,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,NA,1,1,NA,1,4,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,176,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high",2,1,0,"large"
"11","B13",1,NA,NA,NA,NA,NA,NA,3,3,2,2,3,3,5,5,5,5,NA,NA,5,5,22,5,5,7,37,3,1,1985,1,2,123,1,123,2022-03-28 00:15:28,"-99",2022-03-27 05:55:34,2022-03-27 06:12:07,16,100,992,"",1,"
28-Mar-22",3,3,1,1,1,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,NA,1,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,2,NA,NA,NA,299,75,NA,NA,NA,NA,NA,NA,NA,NA,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high",1,0,0,"large"
"12","B14",1,NA,NA,NA,NA,NA,NA,6,4,3,2,6,4,5,5,5,4,2,3,5,5,23,5,5,7,53,-99,339,1969,2,4,108,1,108,2022-03-27 11:41:56,"-99",2022-03-27 04:17:56,2022-03-27 04:38:38,16,100,1241,"",1,"
27-Mar-22",2,2,1,1,1,NA,NA,0,0,1,0,0,1,0,1,0,0,0,0,NA,3,1,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,2,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,1,5,5,7,NA,NA,5,NA,NA,NA,1,0,1,0,1,NA,170,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high",1,0,0,"small"
"13","B14",1,NA,NA,NA,NA,NA,NA,4,4,2,2,4,4,5,5,4,4,3,3,5,5,24,5,5,7,43,12,314,1979,1,4,118,1,118,2022-03-27 11:48:43,"-99",2022-03-27 04:18:57,2022-03-27 04:36:20,16,100,1042,"",1,"
27-Mar-22",2,2,1,1,1,NA,NA,0,0,1,0,1,1,1,1,0,0,0,0,NA,5,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high",2,0,0,"small"
"14","B16",1,NA,NA,NA,NA,NA,NA,4,4,2,2,4,4,5,5,3,1,NA,NA,5,5,28,5,5,6,25,12,319,1997,2,4,111,1,111,2022-03-27 11:42:00,"-99",2022-03-27 06:22:37,2022-03-27 07:08:29,16,100,2752,"",1,"
27-Mar-22",2,2,1,1,1,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,NA,1,1,5,1,NA,NA,1,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,NA,772,463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high",2,2,0,"small"
"15","B16",1,NA,NA,NA,NA,NA,NA,4,4,2,2,4,4,5,5,3,1,NA,NA,5,5,28,5,5,6,28,12,319,1994,2,4,121,1,121,2022-03-27 11:48:47,"-99",2022-03-27 06:22:55,2022-03-27 07:04:24,16,100,2488,"",1,"
27-Mar-22",2,2,1,1,1,NA,NA,0,0,0,0,0,1,0,1,0,0,0,0,NA,2,1,5,1,NA,NA,1,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,NA,768,429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high",2,2,0,"small"
"16","B17",1,NA,NA,NA,NA,NA,NA,5,5,3,3,5,5,3,4,3,1,4,6,4,3,22,4,4,7,31,-99,324,1991,2,4,113,1,113,2022-03-27 11:44:01,"Nyte sola",2022-03-27 06:54:21,2022-03-27 07:14:37,16,100,1215,"",1,"
27-Mar-22",2,2,1,1,1,NA,NA,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,4,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,425,NA,NA,2,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",2,1,0,"small"
"17","B17",1,NA,NA,NA,NA,NA,NA,4,4,2,2,4,4,3,5,1,1,6,6,4,4,26,5,5,5,28,10,319,1994,1,3,115,1,115,2022-03-27 11:45:25,"-99",2022-03-27 06:53:43,2022-03-27 07:11:20,16,100,1056,"",1,"
27-Mar-22",2,2,1,1,1,NA,NA,0,0,1,1,0,0,0,0,0,0,0,0,NA,2,1,4,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,341,NA,NA,2,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",1,1,0,"small"
